condition,period,agent_id,persona_id,probability,confidence,reasoning,timestamp,success,error,raw_response
generic_independent,2,generic_000,,0.1,medium,"The military balance remains even, and Tethys is experiencing strong and growing international diplomatic support, which stabilizes its political and military position. Additionally, Tethys's domestic actions, such as issuing war bonds and establishing humanitarian corridors, suggest a government consolidating its legitimacy and control, not one on the verge of collapse.",2026-02-10T15:18:17.596441,True,,"Probability: 0.10 (10%)
Confidence: Medium
Reasoning: The military balance remains even, and Tethys is experiencing strong and growing international diplomatic support, which stabilizes its political and military position. Additionally, Tethys's domestic actions, such as issuing war bonds and establishing humanitarian corridors, suggest a government consolidating its legitimacy and control, not one on the verge of collapse."
generic_independent,2,generic_002,,0.15,medium,"The Tethys government shows strong resilience with a stabilized frontline, growing international support, and proactive domestic measures like issuing war bonds, indicating internal cohesion. While a severe crisis persists, the military balance is even and no territory has been lost, making a full governmental collapse within one week highly unlikely absent a sudden, catastrophic military or political shock.",2026-02-10T15:18:17.840249,True,,"Probability: 0.15 (15%)  
Confidence: Medium  
Reasoning: The Tethys government shows strong resilience with a stabilized frontline, growing international support, and proactive domestic measures like issuing war bonds, indicating internal cohesion. While a severe crisis persists, the military balance is even and no territory has been lost, making a full governmental collapse within one week highly unlikely absent a sudden, catastrophic military or political shock."
generic_independent,2,generic_001,,0.15,medium,"The Tethys government is demonstrating strong resilience through military mobilization, successful diplomatic framing of the conflict as defensive, and growing international support. While the crisis is severe and Novaris is escalating pressure, the lack of territorial loss, combined with Tethys's active coalition-building and financial measures like war bonds, suggests the government is consolidating rather than collapsing in the short term.",2026-02-10T15:18:18.169517,True,,"Probability: 0.15 (15%)  
Confidence: Medium  
Reasoning: The Tethys government is demonstrating strong resilience through military mobilization, successful diplomatic framing of the conflict as defensive, and growing international support. While the crisis is severe and Novaris is escalating pressure, the lack of territorial loss, combined with Tethys's active coalition-building and financial measures like war bonds, suggests the government is consolidating rather than collapsing in the short term."
generic_independent,2,generic_004,,0.15,medium,"The Tethys government shows strong resilience with growing international support, successful defensive framing, and proactive domestic measures like war bonds. While the crisis is severely elevated, the military balance is even and no territory has been lost, making a governmental collapse within one week highly unlikely absent a sudden catastrophic military or political shock.",2026-02-10T15:18:18.487063,True,,"Probability: 0.15 (15%)  
Confidence: Medium  
Reasoning: The Tethys government shows strong resilience with growing international support, successful defensive framing, and proactive domestic measures like war bonds. While the crisis is severely elevated, the military balance is even and no territory has been lost, making a governmental collapse within one week highly unlikely absent a sudden catastrophic military or political shock."
generic_independent,2,generic_003,,0.15,low,"The scenario indicates Tethys’s position has strengthened due to strong and growing international support, successful diplomatic framing of the conflict as defensive, and no loss of territorial control. While the crisis remains severely elevated, the government’s stability is bolstered by coalition-building, humanitarian measures, and financial mobilization, making a collapse within one week unlikely absent a sudden catastrophic military or internal political shock.",2026-02-10T15:18:19.478866,True,,"Probability: 0.15 (15%)  
Confidence: Low  
Reasoning: The scenario indicates Tethys’s position has strengthened due to strong and growing international support, successful diplomatic framing of the conflict as defensive, and no loss of territorial control. While the crisis remains severely elevated, the government’s stability is bolstered by coalition-building, humanitarian measures, and financial mobilization, making a collapse within one week unlikely absent a sudden catastrophic military or internal political shock."
generic_independent,2,generic_006,,0.1,medium,"The military situation has stabilized with Tethys enjoying strong and growing international diplomatic and economic support, while its government is actively mobilizing domestic resources (war bonds) and maintaining defensive operations. A collapse or removal from power within one week is highly improbable absent a sudden, catastrophic military defeat or internal coup, neither of which is indicated by the current intelligence.",2026-02-10T15:18:25.456742,True,,"Probability: 0.10 (10%)  
Confidence: Medium  
Reasoning: The military situation has stabilized with Tethys enjoying strong and growing international diplomatic and economic support, while its government is actively mobilizing domestic resources (war bonds) and maintaining defensive operations. A collapse or removal from power within one week is highly improbable absent a sudden, catastrophic military defeat or internal coup, neither of which is indicated by the current intelligence."
generic_independent,2,generic_008,,0.15,medium,"The military situation has stabilized with no territorial losses, Tethys retains strong and growing international support, and its government has taken proactive measures like issuing war bonds and establishing humanitarian corridors, which suggest institutional resilience. However, the severely elevated crisis and ongoing pressure from Novaris introduce a non-negligible risk of destabilization.",2026-02-10T15:18:26.651987,True,,"Probability: 0.15 (15%)  
Confidence: Medium  
Reasoning: The military situation has stabilized with no territorial losses, Tethys retains strong and growing international support, and its government has taken proactive measures like issuing war bonds and establishing humanitarian corridors, which suggest institutional resilience. However, the severely elevated crisis and ongoing pressure from Novaris introduce a non-negligible risk of destabilization."
generic_independent,2,generic_005,,0.15,medium,"The military balance remains even, and Tethys enjoys growing international support and diplomatic momentum, which stabilizes its position. However, the severe crisis elevation and sustained pressure from Novaris introduce a non-zero risk of internal destabilization, though a full government collapse within one week appears unlikely given current defensive cohesion and external backing.",2026-02-10T15:18:27.610501,True,,"Probability: 0.15 (15%)  
Confidence: Medium  
Reasoning: The military balance remains even, and Tethys enjoys growing international support and diplomatic momentum, which stabilizes its position. However, the severe crisis elevation and sustained pressure from Novaris introduce a non-zero risk of internal destabilization, though a full government collapse within one week appears unlikely given current defensive cohesion and external backing."
generic_independent,2,generic_009,,0.15,medium,"The military balance remains even, and Tethys has gained strong international diplomatic support, reducing its vulnerability to internal collapse. However, the severe crisis elevation and Novaris’s ongoing pressure introduce a non-zero risk of destabilization, though regime removal within one week appears unlikely given current defensive cohesion and external backing.",2026-02-10T15:18:27.820003,True,,"Probability: 0.15 (15%)  
Confidence: Medium  
Reasoning: The military balance remains even, and Tethys has gained strong international diplomatic support, reducing its vulnerability to internal collapse. However, the severe crisis elevation and Novaris’s ongoing pressure introduce a non-zero risk of destabilization, though regime removal within one week appears unlikely given current defensive cohesion and external backing."
generic_independent,2,generic_007,,0.15,low,"The scenario describes a stabilized frontline, strong and growing international support for Tethys, and no territorial losses, which reduces immediate existential pressure on the government. While Novaris is escalating pressure through military demonstrations and sanctions, Tethys is actively mobilizing resources, issuing war bonds, and maintaining diplomatic initiatives, indicating resilience rather than collapse. Historical precedents suggest that externally supported governments defending aga...",2026-02-10T15:18:28.552914,True,,"Probability: 0.15 (15%)  
Confidence: Low  
Reasoning: The scenario describes a stabilized frontline, strong and growing international support for Tethys, and no territorial losses, which reduces immediate existential pressure on the government. While Novaris is escalating pressure through military demonstrations and sanctions, Tethys is actively mobilizing resources, issuing war bonds, and maintaining diplomatic initiatives, indicating resilience rather than collapse. Historical precedents suggest that externally supported governments defending against territorial claims rarely collapse within such a short timeframe absent a decisive military defeat or internal coup, neither of which is indicated here."
